"Назва","Тип чаю","Регіон","Для новачків","Характер","Артикул","В меню","Дескриптори","Час доби","Посуд","Вага","Температура","Проливи","Злив","Коментар","Про чай"
"Інь Цзюнь Мей","Червоний","Фуцзянь","так","Інтроверт","#R7","так","Медовий; Карамельний; Димний","Вечір","Гайвань","1г / 40мл","90–95°C","6","Швидкий","Класика. Зігріває. Хлібний, медовий, карамельний. Затишний чай — рекомендувати коли хочеться чогось теплого і заспокоюючого.","Цзінь Цзюнь Мей - Тунму на півночі провінції Фуцзянь (гори Уїшань). Інь Цзюнь Мей - Основна різниця полягає в кольорі сировини та ступені окислення/обробки. В цзінь цзюнь меі більше ворсистих золотих листочків - він повністю з них складається. В інь цзюнь меї вони подекуди зустрічаються. по факту інь цзюнь мей це слабкіший грейд цзінь цзюнь мея і вищий грейд базового дян хуна, але від того він виокремлюється в іншу категорію."
"Му Дань Ван 2025","Білий","Фуцзянь","ні","Екстраверт","#W3","так","Вершковий; Солодкий","Вечір","Гайвань","1г / 40мл","90–100°C","6","Нормальний","Овочевий білий — якщо є такий запит, рекомендуємо його. Для любителів білих чаїв, які хочуть скуштувати нові профілі. Релакс, вечірній.","Mu Dan Wang - королівська півонія. На відміну від стандартного Бай Му Дань, де пропорція листя до бруньок може бути різною, у «Вані» використовуються лише найповніші, соковиті бруньки та один-два наймолодших листочки. Це завжди ранньовесняний чай. кінець березня < збір < кінець квітня. Смакує найкраще саме свіжим в той час як Бай My Дань підлягає витримки і набуває більшої глибини та смакові відтінків (курага, горіховість). Наш муданьван - минулорічний , він має більш овочевий профіль , але тим не менш викликав зацікавлення при відборі."
"Шу Пуер Рисове Поле немає","Шу пуер","Юньнань","ні","","#Sh10","так","Рисовий; Солодкий","Будь-який","Гайвань","1г / 20мл","95–100°C","5","Нормальний","Рекомендуємо у випадках конкретного запиту на рисовий профіль. Сировина адекватна, чіткий рисовий профіль. Про рисовий пуер більше в глосарії.","Шу Пуер з ароматом клейкого рису. Рисовий профіль зумовлений доданням рисової хлорофіли при виробництві. Швидко розкривається, класно для термосу."
"Я Ши Сян Super FIre","Улун","Гуандун","ні","Екстраверт","Без артикула","так","Квітковий; Солодкий; Мигдаль; Медовий; Здоба","Будь-який","Гайвань","1г / 40мл","85–90°C","6","Швидкий","Великий, поздовжньо скручений, темного оливково-бурого кольору з глянцевим відливом. У прогрітому посуді видає потужний шлейф тропічних фруктів та кондитерської солодкості. Складний, багатошаровий, виражено квітковий. Головну роль грають ноти жимолості, білого жасмину, квітучого мигдалю та легкі цитрусові іскри. Щільний, маслянистий, збалансований. У ньому переплітаються відтінки соковитих екзотичних фруктів, ягідної кислинки та мигдального крему. Відчувається благородна гіркота, що швидко переходить у солодкість, яка є характерною для високогірної сировини.","Дан Цун Я Ши Сян сильного вогню з провінції Ґуандун, що перекладається як ""аромат качиного посліду"" Існує цілком прагматична історія про те, чому цей чудовий сорт нагородили таким дивним ім'ям: Ґрунтова версія: Материнський кущ цього чаю ріс на унікальному глинисто-жовтому ґрунті, який місцеві фермери називали «качиним послідом» (Yashi Tu) через його специфічний колір та високу родючість. Чай виходив неймовірно ароматним. Хитрість фермера: Творець цього підсорту, селянин на прізвище Вей, помітив, що його чай має феноменальний смак. Щоб заздрісні сусіди не вкрали живці та не дізналися секрет виробництва, він заявив, що чай нікудишній, а його аромат нагадує... ну, ви зрозуміли. Стратегія спрацювала: назва закріпилася. У 2014 році місцеві виробники спробували офіційно перейменувати сорт на благородний «Інь Хуа Сян» (银花香 — Аромат Срібного Жасмину / Жимолості). Але чайний світ збунтувався: оригінальна ексцентрична назва вже стала світовим брендом."
"Бай Му Дань Витриманий","Білий","Фуцзянь","ні","Екстраверт","#W2","так","Квітковий; Медовий; Солодкий","Вечір","Гайвань","1г / 40мл","90–95°C","7","Нормальний","Релаксуючий, вечірній, солодкий. Якщо хочеться смачного і діючого білого — рекомендуємо його.","Бай Му Дань - Біла Півонія - Fuding Da Bai або Zhenghe Da Bai. сировина з флешів - брунька + 2 верхніх листочка. Бай Му Дань виготовляють із кущів сорту Да Бай Ча (Великий Білий Чай). Це особливий підвид чайної рослини з дуже великими бруньками та густим білим ворсом. Хоча зараз головними центрами є Фудін та Чженхе, перші згадки про Бай Му Дань як про окремий сорт ведуть до містечка Шуйцзи в уїзді Цзяньян (кінець XIX століття). Там його почали робити з кущів сорту Да Хао та Сяо Бай (Малий Білий)"
"Гонг Мей ( Шоу мей )","Білий","Фуцзянь","так","Екстраверт","W6","так","Медовий; Деревний; Солодкий","Вечір","Гайвань","1г / 40мл","90–100°C","7","Нормальний","Медовий білий, класика. Релакс на вечір. Нижчий грейд не означає поганий чай — це просто інша сировина з власним характером.","Gong Mei - найничжий грейд білих чаїв , адже не має ворсистих бруньок взагалі . Гонг Мей виготовляється з сорту чайного куща Сяо Бай (малий білий), на відміну від дорожчих сортів, які роблять з Да Бай (великий білий). Через те, що лист зрілий, у ньому більше цукрів та мінералів. Це робить настій густішим, з вираженими медовими, сухофруктовими та деревними нотами. Гарно піддається сухому збереганн. і стає багатшим в смаку. Нижчий грейд не дорівнює поганий чай. Виготовити його простіше, адже він листовий, відповідно на його збір потрібно менше зусиль."
"Веліамір Гу Шу Бай Ча млинець 200 г","Білий","Юньнань","так","Екстраверт","","так","Солодкий; Квітковий; Курага","Будь-який","Гайвань","1г / 30мл","90–95°C","10","Швидкий","Для новачків підійде, але не перетримувати. Смачний, трошки жорсткуватий без глибини та об'єму. Витримує багато проливів — можуть просити додаток води. Співзвучний з шен пуерами.","Білий чай з сировини Гу Шу (старі кущі). Сильна пресована форма, тривалі заварювання наповнені надмірною жорсткістю тому з цим білим чаєм треба робити швидкі проливи та довгі перерви між піалами, щоб мати час для формування стійкого посмаку та відчути резонанс смаку. Витримує багато проливів, можуть просити додаток води."
"Об’єднання братів","Шен пуер","Юньнань","ні","Інтроверт","","так","Земляний; Деревний; Буряк; Вінтажний підвальчик; Евкаліпт","Будь-який","Гайвань","1г / 40мл","95–100°C","8","Нормальний","Радити у випадках «спробувати щось нетипове», «вінтажний підвал», любителям евкаліпту та цукрового буряку. Найпотужніший стан, дуже п'янкий. Чай не для новачків.","Цей чай не для всіх - нетиповий профіль старості та “вінтажного підвальчіка” може відштовхувати. Але чай повний на нестандартні дескриптори, має потужний стан і тривалий посмак. Заварювати можна як Шу пуер, адже він має схожі з ним властивості. Чай не для новачків."
"Юньнанський зелений 26 продаєм","Зелений","Юньнань","так","Екстраверт","","так","Солодкий; Квітковий; Фруктовий","Ранок–День","Гайвань","1г / 40мл","80–85°C","7","Швидкий","Яскравий зелений — рекомендувати якщо хочеться поєднати солодкість і свіжість. Ароматика — сильна сторона. Підходить для знайомства новачків.","Зелений з крупного юннанського листа. Весняний збір 2026 року, має дуже потужну смакоароматику та транспорентність (прозорість,зрозумілість). Ітерація 2026 року: якісно відібраний зелений з юннанського теруару. Зелений юннанський моносировинний чай — це чистий весняний лист, зібраний з високогірних чайних дерев у провінції Юньнань, Південно-Західний Китай. Він уособлює справжній дух дикої природи, туманних гір і традиційного китайського чаювання. Цей чай виготовлений виключно з листа одного сорту та з однієї місцевості — саме це і означає моносировинний підхід. Він дозволяє найповніше відчути терруар, тобто природні особливості регіону: ґрунти, мікроклімат, висоту над рівнем моря. М’яко тонізує, підтримує розумову активність, сприяє відновленню після навантажень. Багатий на антиоксиданти, амінокислоти та поліфеноли. Покращує травлення, зміцнює імунітет та допомагає підтримувати водно-сольовий баланс організму - і це не просто гучні слова, він таки корисний). Перше знайомство з сировиною - домінантний пломбір з флоральною ноткою. В прогрітому посуді все координально змінюється: чай нарваний, молодий, рветься на амбразуру своїми поліфенольними редутами. Профіль зміщується в бік соєвого умамі: злаки, соя, сейтан, гречиха. Чаю потрібно пару місяців щоб втамувати таніни та добрати дехлорофілізації за рахунок часу. Чай на смак трохи різкий, якщо його заварювати стандартно, тому рекомендуємо майже не настаювати та акцентуватись на ароматиці - вона в цьому лоті глибока та свіжа: манго, магнолія, чубушник, трояндове варення, соєва основа присутня але залишково. Настій прозорий, світло-зелений із жовтуватим відтінком. Можна зустріти копчену паприку, білкові. Стан - рівний та чистий як вимите скло. Має сильний бадьорий стан."
"Ча Тоу Шу Пуер","Шу пуер","Юньнань","ні","Інтроверт","","так","Горіховий; Деревний; Земляний","Будь-який","Чайник; Варка","1г / 30мл","95–100°C","8","Нормальний","Скоріш за все будемо варити по Лу Ю Ю з собою, пропонувати також можна для проливів любителям м’яких горіхових шух високих грейдів (якісні)","Ча Тоу - перекладається як “Чайна Голова”. Назва походить від вигляду цих комків з чаєм - при виготовленні Шу Пуеру за технологією Wo Dui. Потребує сильного окропу щоб розкритись. Найкраще підходить для варки за методом Лу Ю Я на відкритому вогні (пальнику). Щільна структура проливами може розкритись за допомогою нульового проливу більш тривалий час - 20-30 секунд і надалі використовувати Загальні положення чаювання."
