"key","text"
"title","Чайна зала"
"tagline","Підбери кожному гостю його чай"
"btn_continue","Продовжити гру"
"btn_new","Нова гра"
"btn_dex","Довідник чаїв"
"btn_how","Як грати"
"best_line","Найкращий рахунок: {n}"
"btn_menu","Меню"
"aria_home","Вийти в меню. Гру збережено"
"lvl_normal","Рівень {level}, до нового чаю {p}/{per}"
"prog_normal","У меню {m} з {total}"
"lvl_endless","Безкінечний режим"
"prog_endless","Усі чаї у меню, гостей: {n}"
"aria_lives","Життя: {n} з {max}"
"aria_patience","Терпіння: {n} з {max}"
"aria_hidden","Прихований пункт"
"aria_tried","уже пробували"
"aria_search","Пошук"
"tray_title","Твоє меню"
"toggle_easy","Підказки на картках"
"filter_all","Усі"
"search_name","Пошук за назвою"
"search_deep","Пошук за назвою, смаком, регіоном"
"empty","Нічого не знайдено. Зміни фільтр."
"msg_start","Торкнись картки чаю, щоб побачити деталі й подати його гостю."
"msg_wrong","«{tea}» не підійшов."
"msg_mismatch","Не збігається: {list}."
"msg_revealed","Гість уточнив: {trait}."
"msg_win","«{tea}» — саме те! +{pts}"
"msg_perfect","Із першої спроби."
"msg_life","Життя повернулось: +♥."
"msg_lose","Терпіння скінчилось, гість пішов. Йому підійшов би «{tea}»."
"stamp_win","Смачно!"
"stamp_lose","Пішов"
"btn_next","Наступний гість"
"btn_summary","Підсумок"
"need_label","Гість хоче"
"btn_serve","Подати гостю"
"btn_tried","Цей чай уже пробували"
"btn_close","Закрити"
"btn_ok","Зрозуміло"
"btn_to_guests","До гостей"
"label_novice","Для новачків"
"prop_time","Час доби"
"prop_vessel","Посуд"
"prop_weight","Вага"
"prop_temp","Температура"
"prop_infusions","Проливи"
"prop_pour","Злив"
"about_h","Про чай"
"unlock_new_title","Меню поповнилось"
"unlock_new_body","У меню з’явився новий чай. Знайди його серед карток."
"unlock_last_title","Усі чаї відкрито"
"unlock_last_body","Останній чай додано до меню. Тепер гра безкінечна, доки не скінчаться життя."
"dex_title","Довідник чаїв"
"btn_back","Назад"
"over_title","Чайна зала зачиняється"
"over_record","Новий рекорд"
"stat_score","Рахунок"
"stat_served","Обслужено гостей"
"stat_menu","Чаїв у меню"
"stat_menu_value","{m} з {total}"
"stat_perfect","З першої спроби"
"stat_best","Найкращий рахунок"
"btn_again","Нова гра"
"btn_home","Головне меню"
"howto_title","Як грати"
"howto_1","Гість приходить із побажаннями. Пункт «???» прихований, гість розкриє його, коли ти помилишся."
"howto_2","Торкнись картки чаю з меню: побачиш деталі. Якщо чай підходить під усі пункти, натисни «Подати гостю»."
"howto_3","Кожна помилка забирає терпіння ☕ і розкриває один прихований пункт. Коли терпіння скінчилось, гість іде, і ти втрачаєш ♥."
"howto_4","Кожні {per} обслужених гостей у меню з’являється новий чай. Коли відкриті всі, починається безкінечний режим."
"howto_5","Кожні {perfects} гостей, обслужених із першої спроби, повертають одне життя."
"howto_6","Гру збережено автоматично. Працює без інтернету."
"visitor_1_av","👵"
"visitor_1_name","Пані Галина"
"visitor_2_av","🧑‍🎓"
"visitor_2_name","Студент Максим"
"visitor_3_av","🧑‍💻"
"visitor_3_name","Юлія з ноутбуком"
"visitor_4_av","👩‍⚕️"
"visitor_4_name","Лікарка Марта"
"visitor_5_av","🧔"
"visitor_5_name","Дядько Іван"
"visitor_6_av","👩‍🎨"
"visitor_6_name","Художниця Софія"
"visitor_7_av","🧑‍🍳"
"visitor_7_name","Кухар Тарас"
"visitor_8_av","👴"
"visitor_8_name","Пан Олекса"
"visitor_9_av","🧳"
"visitor_9_name","Мандрівниця Оля"
"visitor_10_av","👩‍🏫"
"visitor_10_name","Вчителька Ірина"
"visitor_11_av","🧑‍🔧"
"visitor_11_name","Майстер Дмитро"
"visitor_12_av","👨‍🎤"
"visitor_12_name","Музикант Андрій"
"visitor_13_av","👩‍🌾"
"visitor_13_name","Пані Надія"
"visitor_14_av","🧑‍🚒"
"visitor_14_name","Сергій після зміни"
"visitor_15_av","🎓"
"visitor_15_name","Аспірантка Катя"
"say_1","Доброго дня! Порадьте щось під настрій."
"say_2","Хочу чогось особливого."
"say_3","Давно до вас збирався."
"say_4","Мені б чашечку, але точно те, що треба."
"say_5","Сьогодні маю дуже конкретні побажання."
"say_6","Подивимось, чим ви мене здивуєте."
